N_train,Iteration,Train_pred_q,Train_obsd_q,TrainCode
6,0,0.0,0.0,0010100000000001001001000000010000000
6,0,0.010101010101010102,0.0,0010100000000001001001000000010000000
6,0,0.020202020202020204,0.0,0010100000000001001001000000010000000
6,0,0.030303030303030304,0.0,0010100000000001001001000000010000000
6,0,0.04040404040404041,0.0,0010100000000001001001000000010000000
6,0,0.05050505050505051,0.03225806451612903,0010100000000001001001000000010000000
6,0,0.06060606060606061,0.03225806451612903,0010100000000001001001000000010000000
6,0,0.07070707070707072,0.03225806451612903,0010100000000001001001000000010000000
6,0,0.08080808080808081,0.0967741935483871,0010100000000001001001000000010000000
6,0,0.09090909090909091,0.0967741935483871,0010100000000001001001000000010000000
6,0,0.10101010101010102,0.12903225806451613,0010100000000001001001000000010000000
6,0,0.11111111111111112,0.12903225806451613,0010100000000001001001000000010000000
6,0,0.12121212121212122,0.12903225806451613,0010100000000001001001000000010000000
6,0,0.13131313131313133,0.12903225806451613,0010100000000001001001000000010000000
6,0,0.14141414141414144,0.12903225806451613,0010100000000001001001000000010000000
6,0,0.15151515151515152,0.12903225806451613,0010100000000001001001000000010000000
6,0,0.16161616161616163,0.12903225806451613,0010100000000001001001000000010000000
6,0,0.17171717171717174,0.16129032258064516,0010100000000001001001000000010000000
6,0,0.18181818181818182,0.1935483870967742,0010100000000001001001000000010000000
6,0,0.19191919191919193,0.22580645161290322,0010100000000001001001000000010000000
6,0,0.20202020202020204,0.22580645161290322,0010100000000001001001000000010000000
6,0,0.21212121212121213,0.22580645161290322,0010100000000001001001000000010000000
6,0,0.22222222222222224,0.22580645161290322,0010100000000001001001000000010000000
6,0,0.23232323232323235,0.25806451612903225,0010100000000001001001000000010000000
6,0,0.24242424242424243,0.25806451612903225,0010100000000001001001000000010000000
6,0,0.25252525252525254,0.25806451612903225,0010100000000001001001000000010000000
6,0,0.26262626262626265,0.2903225806451613,0010100000000001001001000000010000000
6,0,0.27272727272727276,0.2903225806451613,0010100000000001001001000000010000000
6,0,0.2828282828282829,0.2903225806451613,0010100000000001001001000000010000000
6,0,0.29292929292929293,0.3225806451612903,0010100000000001001001000000010000000
6,0,0.30303030303030304,0.3225806451612903,0010100000000001001001000000010000000
6,0,0.31313131313131315,0.3225806451612903,0010100000000001001001000000010000000
6,0,0.32323232323232326,0.3225806451612903,0010100000000001001001000000010000000
6,0,0.33333333333333337,0.3225806451612903,0010100000000001001001000000010000000
6,0,0.3434343434343435,0.3548387096774194,0010100000000001001001000000010000000
6,0,0.3535353535353536,0.41935483870967744,0010100000000001001001000000010000000
6,0,0.36363636363636365,0.41935483870967744,0010100000000001001001000000010000000
6,0,0.37373737373737376,0.41935483870967744,0010100000000001001001000000010000000
6,0,0.38383838383838387,0.41935483870967744,0010100000000001001001000000010000000
6,0,0.393939393939394,0.41935483870967744,0010100000000001001001000000010000000
6,0,0.4040404040404041,0.41935483870967744,0010100000000001001001000000010000000
6,0,0.4141414141414142,0.45161290322580644,0010100000000001001001000000010000000
6,0,0.42424242424242425,0.4838709677419355,0010100000000001001001000000010000000
